"id","name","provider","context_length","max_output_tokens","input_modalities","output_modalities","endpoints","pricing_unit","prompt_usd","completion_usd","second_usd","480p_usd","720p_usd","1080p_usd","supported_parameters"
"anthropic/claude-haiku-4.5","Claude Haiku 4.5","anthropic","200000","64000","image|text","text","chat|messages","usd_per_million_tokens","0.15000000","0.15000000","","","","","container|max_tokens|messages|metadata|model|output_config|service_tier|stop_sequences|stream|system|temperature|thinking|tool_choice|tools|top_k|top_p"
"anthropic/claude-opus-4.6","Claude Opus 4.6","anthropic","1000000","128000","image|text","text","chat|messages","usd_per_million_tokens","0.30000000","0.30000000","","","","","include_reasoning|max_completion_tokens|max_tokens|reasoning|response_format|stop|structured_outputs|temperature|tool_choice|tools|top_k|top_p|verbosity"
"anthropic/claude-opus-4.7","Claude Opus 4.7","anthropic","1000000","128000","image|text","text","chat|messages","usd_per_million_tokens","0.30000000","0.30000000","","","","","container|max_tokens|messages|metadata|model|output_config|service_tier|stop_sequences|stream|system|temperature|thinking|tool_choice|tools|top_k|top_p"
"anthropic/claude-sonnet-4.6","Claude Sonnet 4.6","anthropic","1000000","128000","image|text","text","chat|messages","usd_per_million_tokens","0.25500000","0.25500000","","","","","container|max_tokens|messages|metadata|model|output_config|service_tier|stop_sequences|stream|system|temperature|thinking|tool_choice|tools|top_k|top_p"
"bytedance/seedance-2.0","Seedance 2.0","bytedance","","","audio|image|text|video","video","chat|videos_submit|videos_task","usd_per_second","","","0.00000000","0.01681500","0.03780000","0.08505000","aspect_ratio|callback_url|duration|enable_web_search|generate_audio|negative_prompt|output_config|prompt|reference_audios|reference_images|reference_videos|resolution|seed|size"
"bytedance/seedance-2.0-edit","Seedance 2.0 Edit","bytedance","","","audio|image|text|video","video","chat|videos_submit|videos_task","usd_per_second","","","0.00000000","0.01681500","0.03780000","0.08505000","aspect_ratio|callback_url|duration|enable_web_search|generate_audio|output_config|prompt|reference_audios|reference_images|resolution|video"
"bytedance/seedance-2.0-extend","Seedance 2.0 Extend","bytedance","","","image|text|video","video","chat|videos_submit|videos_task","usd_per_second","","","0.00000000","0.01681500","0.03780000","0.08505000","callback_url|duration|enable_web_search|generate_audio|last_image|negative_prompt|output_config|prompt|resolution|seed|size|video"
"bytedance/seedance-2.0-i2v","Seedance 2.0 i2v","bytedance","","","image|text","video","chat|videos_submit|videos_task","usd_per_second","","","0.00000000","0.01681500","0.03780000","0.08505000","aspect_ratio|callback_url|duration|enable_web_search|frame_images|generate_audio|image|input_references|last_image|negative_prompt|output_config|prompt|resolution|seed|size"
"deepseek/deepseek-v4-pro","Deepseek V4 Pro","deepseek","1048576","384000","text","text","chat","usd_per_million_tokens","0.10000000","0.10000000","","","","","frequency_penalty|include_reasoning|logprobs|max_tokens|presence_penalty|reasoning|response_format|stop|temperature|tool_choice|tools|top_logprobs|top_p"
"google/gemini-2.5-pro","Gemini 2.5 Pro","google","1048576","65536","image|text","text","chat","usd_per_million_tokens","0.11000000","0.11000000","","","","","include_reasoning|max_tokens|reasoning|response_format|seed|stop|structured_outputs|temperature|tool_choice|tools|top_p"
